country_id	city_id	country_name	city_name	city_name_url_encoded	country_name_url_encoded	city_url_full	city_url	country_url_full	country_url_part
71	1784	France	Nice	Nice	Nice	https://www.numbeo.com/cost-of-living/city_result.jsp?country=France&city=Nice	city_result.jsp?country=France&city=Nice	https://www.numbeo.com/cost-of-living/country_result.jsp?country=France	country_result.jsp?country=France
71	1801	France	Strasbourg	Strasbourg	Strasbourg	https://www.numbeo.com/cost-of-living/city_result.jsp?country=France&city=Strasbourg	city_result.jsp?country=France&city=Strasbourg	https://www.numbeo.com/cost-of-living/country_result.jsp?country=France	country_result.jsp?country=France
78	1946	Germany	Munich	Munich	Munich	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Germany&city=Munich	city_result.jsp?country=Germany&city=Munich	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Germany	country_result.jsp?country=Germany
222	6781	United States	Los Angeles, CA	Los%20Angeles%2C%20CA	Los%20Angeles%2C%20CA	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Los%20Angeles%2C%20CA	city_result.jsp?country=United%20States&city=Los%20Angeles%2C%20CA	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
222	6507	United States	Fremont, CA	Fremont%2C%20CA	Fremont%2C%20CA	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Fremont%2C%20CA	city_result.jsp?country=United%20States&city=Fremont%2C%20CA	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
70	1655	Finland	Helsinki	Helsinki	Helsinki	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Finland&city=Helsinki	city_result.jsp?country=Finland&city=Helsinki	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Finland	country_result.jsp?country=Finland
222	6488	United States	Fort Lauderdale, FL	Fort%20Lauderdale%2C%20FL	Fort%20Lauderdale%2C%20FL	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Fort%20Lauderdale%2C%20FL	city_result.jsp?country=United%20States&city=Fort%20Lauderdale%2C%20FL	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
70	1676	Finland	Oulu	Oulu	Oulu	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Finland&city=Oulu	city_result.jsp?country=Finland&city=Oulu	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Finland	country_result.jsp?country=Finland
221	5812	United Kingdom	Brighton	Brighton	Brighton	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20Kingdom&city=Brighton	city_result.jsp?country=United%20Kingdom&city=Brighton	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20Kingdom	country_result.jsp?country=United%20Kingdom
221	5948	United Kingdom	Peterborough	Peterborough	Peterborough	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20Kingdom&city=Peterborough	city_result.jsp?country=United%20Kingdom&city=Peterborough	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20Kingdom	country_result.jsp?country=United%20Kingdom
202	5257	Sweden	Gothenburg	Gothenburg	Gothenburg	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Sweden&city=Gothenburg	city_result.jsp?country=Sweden&city=Gothenburg	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Sweden	country_result.jsp?country=Sweden
222	6856	United States	Milwaukee, WI	Milwaukee%2C%20WI	Milwaukee%2C%20WI	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Milwaukee%2C%20WI	city_result.jsp?country=United%20States&city=Milwaukee%2C%20WI	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
147	3800	Netherlands	Haarlem	Haarlem	Haarlem	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Netherlands&city=Haarlem	city_result.jsp?country=Netherlands&city=Haarlem	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Netherlands	country_result.jsp?country=Netherlands
149	3858	New Zealand	Hamilton	Hamilton	Hamilton	https://www.numbeo.com/cost-of-living/city_result.jsp?country=New%20Zealand&city=Hamilton	city_result.jsp?country=New%20Zealand&city=Hamilton	https://www.numbeo.com/cost-of-living/country_result.jsp?country=New%20Zealand	country_result.jsp?country=New%20Zealand
147	3809	Netherlands	Leiden	Leiden	Leiden	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Netherlands&city=Leiden	city_result.jsp?country=Netherlands&city=Leiden	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Netherlands	country_result.jsp?country=Netherlands
71	1794	France	Rennes	Rennes	Rennes	https://www.numbeo.com/cost-of-living/city_result.jsp?country=France&city=Rennes	city_result.jsp?country=France&city=Rennes	https://www.numbeo.com/cost-of-living/country_result.jsp?country=France	country_result.jsp?country=France
15	313	Austria	Linz	Linz	Linz	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Austria&city=Linz	city_result.jsp?country=Austria&city=Linz	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Austria	country_result.jsp?country=Austria
149	3849	New Zealand	Christchurch	Christchurch	Christchurch	https://www.numbeo.com/cost-of-living/city_result.jsp?country=New%20Zealand&city=Christchurch	city_result.jsp?country=New%20Zealand&city=Christchurch	https://www.numbeo.com/cost-of-living/country_result.jsp?country=New%20Zealand	country_result.jsp?country=New%20Zealand
147	3799	Netherlands	Groningen	Groningen	Groningen	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Netherlands&city=Groningen	city_result.jsp?country=Netherlands&city=Groningen	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Netherlands	country_result.jsp?country=Netherlands
14	162	Australia	Adelaide	Adelaide	Adelaide	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Australia&city=Adelaide	city_result.jsp?country=Australia&city=Adelaide	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Australia	country_result.jsp?country=Australia
202	5279	Sweden	Lund	Lund	Lund	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Sweden&city=Lund	city_result.jsp?country=Sweden&city=Lund	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Sweden	country_result.jsp?country=Sweden
222	6306	United States	Chicago, IL	Chicago%2C%20IL	Chicago%2C%20IL	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Chicago%2C%20IL	city_result.jsp?country=United%20States&city=Chicago%2C%20IL	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
222	6293	United States	Charleston, SC	Charleston%2C%20SC	Charleston%2C%20SC	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Charleston%2C%20SC	city_result.jsp?country=United%20States&city=Charleston%2C%20SC	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
222	7151	United States	San Diego, CA	San%20Diego%2C%20CA	San%20Diego%2C%20CA	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=San%20Diego%2C%20CA	city_result.jsp?country=United%20States&city=San%20Diego%2C%20CA	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
93	2178	Hong Kong	Hong Kong	Hong%20Kong	Hong%20Kong	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Hong%20Kong&city=Hong%20Kong	city_result.jsp?country=Hong%20Kong&city=Hong%20Kong	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Hong%20Kong	country_result.jsp?country=Hong%20Kong
71	1777	France	Montpellier	Montpellier	Montpellier	https://www.numbeo.com/cost-of-living/city_result.jsp?country=France&city=Montpellier	city_result.jsp?country=France&city=Montpellier	https://www.numbeo.com/cost-of-living/country_result.jsp?country=France	country_result.jsp?country=France
103	2850	Italy	Genoa	Genoa	Genoa	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Italy&city=Genoa	city_result.jsp?country=Italy&city=Genoa	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Italy	country_result.jsp?country=Italy
