country_id	country_name	country_name_url_encoded	country_url_full	country_url_part
154	North Korea	North%20Korea	https://www.numbeo.com/cost-of-living/country_result.jsp?country=North%20Korea	country_result.jsp?country=North%20Korea
155	North Macedonia	North%20Macedonia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=North%20Macedonia	country_result.jsp?country=North%20Macedonia
156	Northern Mariana Islands	Northern%20Mariana%20Islands	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Northern%20Mariana%20Islands	country_result.jsp?country=Northern%20Mariana%20Islands
157	Norway	Norway	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Norway	country_result.jsp?country=Norway
158	Oman	Oman	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Oman	country_result.jsp?country=Oman
159	Pakistan	Pakistan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Pakistan	country_result.jsp?country=Pakistan
160	Palau	Palau	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Palau	country_result.jsp?country=Palau
161	Palestine	Palestine	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Palestine	country_result.jsp?country=Palestine
162	Panama	Panama	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Panama	country_result.jsp?country=Panama
163	Papua New Guinea	Papua%20New%20Guinea	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Papua%20New%20Guinea	country_result.jsp?country=Papua%20New%20Guinea
164	Paraguay	Paraguay	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Paraguay	country_result.jsp?country=Paraguay
165	Peru	Peru	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Peru	country_result.jsp?country=Peru
166	Philippines	Philippines	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Philippines	country_result.jsp?country=Philippines
167	Poland	Poland	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Poland	country_result.jsp?country=Poland
168	Portugal	Portugal	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Portugal	country_result.jsp?country=Portugal
169	Puerto Rico	Puerto%20Rico	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Puerto%20Rico	country_result.jsp?country=Puerto%20Rico
170	Qatar	Qatar	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Qatar	country_result.jsp?country=Qatar
171	Republic Of Congo	Republic%20Of%20Congo	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Republic%20Of%20Congo	country_result.jsp?country=Republic%20Of%20Congo
172	Reunion	Reunion	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Reunion	country_result.jsp?country=Reunion
173	Romania	Romania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Romania	country_result.jsp?country=Romania
174	Russia	Russia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Russia	country_result.jsp?country=Russia
175	Rwanda	Rwanda	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Rwanda	country_result.jsp?country=Rwanda
176	Saint Helena	Saint%20Helena	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Saint%20Helena	country_result.jsp?country=Saint%20Helena
177	Saint Kitts And Nevis	Saint%20Kitts%20And%20Nevis	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Saint%20Kitts%20And%20Nevis	country_result.jsp?country=Saint%20Kitts%20And%20Nevis
178	Saint Lucia	Saint%20Lucia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Saint%20Lucia	country_result.jsp?country=Saint%20Lucia
179	Saint Vincent And The Grenadines	Saint%20Vincent%20And%20The%20Grenadines	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Saint%20Vincent%20And%20The%20Grenadines	country_result.jsp?country=Saint%20Vincent%20And%20The%20Grenadines
180	Samoa	Samoa	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Samoa	country_result.jsp?country=Samoa
181	San Marino	San%20Marino	https://www.numbeo.com/cost-of-living/country_result.jsp?country=San%20Marino	country_result.jsp?country=San%20Marino
182	Sao Tome And Principe	Sao%20Tome%20And%20Principe	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Sao%20Tome%20And%20Principe	country_result.jsp?country=Sao%20Tome%20And%20Principe
183	Saudi Arabia	Saudi%20Arabia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Saudi%20Arabia	country_result.jsp?country=Saudi%20Arabia
184	Senegal	Senegal	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Senegal	country_result.jsp?country=Senegal
185	Serbia	Serbia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Serbia	country_result.jsp?country=Serbia
